iter	Passed	Remaining
0	1	165
1	2	129
2	4	131
3	6	155
4	7	148
5	9	151
6	10	144
7	11	136
8	13	136
9	14	132
10	15	127
11	16	122
12	17	117
13	19	118
14	20	118
15	22	118
16	23	117
17	25	116
18	26	114
19	28	112
20	29	110
21	30	109
22	31	106
23	32	104
24	34	102
25	35	100
26	36	98
27	37	96
28	38	94
29	39	92
30	40	90
31	41	88
32	42	86
33	43	84
34	44	83
35	45	81
36	46	79
37	47	77
38	48	75
39	49	73
40	50	72
41	50	70
42	51	68
43	52	66
44	52	64
45	53	62
46	54	61
47	55	59
48	55	57
49	56	56
50	57	54
51	57	53
52	58	51
53	59	50
54	59	48
55	60	47
56	61	46
57	61	44
58	62	43
59	63	42
60	63	40
61	64	39
62	65	38
63	65	37
64	66	35
65	67	34
66	67	33
67	68	32
68	69	31
69	69	29
70	70	28
71	71	27
72	71	26
73	72	25
74	73	24
75	73	23
76	74	22
77	75	21
78	75	20
79	76	19
80	77	18
81	77	17
82	78	16
83	79	15
84	80	14
85	80	13
86	81	12
87	82	11
88	82	10
89	83	9
90	84	8
91	84	7
92	85	6
93	86	5
94	87	4
95	87	3
96	88	2
97	89	1
98	89	0
99	90	0
