iter	Passed	Remaining
0	0	791
1	2	1083
2	3	1070
3	4	1100
4	5	1077
5	6	1037
6	7	1032
7	8	1035
8	9	1071
9	10	1088
10	11	1075
11	12	1046
12	13	1029
13	14	1021
14	15	1004
15	16	991
16	17	984
17	17	981
18	18	968
19	19	950
20	20	933
21	20	922
22	21	905
23	21	891
24	22	878
25	23	865
26	23	853
27	24	864
28	25	866
29	26	860
30	27	855
31	27	846
32	28	839
33	29	832
34	29	825
35	30	817
36	31	811
37	31	805
38	32	799
39	33	795
40	33	790
41	34	784
42	35	779
43	35	772
44	36	767
45	36	763
46	37	758
47	38	754
48	38	752
49	39	755
50	41	767
51	42	765
52	42	760
53	43	759
54	43	755
55	44	751
56	45	747
57	45	743
58	46	740
59	47	736
60	47	732
61	48	729
62	48	726
63	49	723
64	50	720
65	50	717
66	51	714
67	51	711
68	52	708
69	53	707
70	53	705
71	55	711
72	56	712
73	56	711
74	57	709
75	58	708
76	58	706
77	59	703
78	60	701
79	60	698
80	61	696
81	61	693
82	62	688
83	62	686
84	63	684
85	64	682
86	64	679
87	65	677
88	65	674
89	66	672
90	67	670
91	67	668
92	68	667
93	69	668
94	70	672
95	71	671
96	71	669
97	72	668
98	73	666
99	73	665
100	74	664
101	75	664
102	76	664
103	76	662
104	77	661
105	78	659
106	78	658
107	79	656
108	80	655
109	80	653
110	81	652
111	82	651
112	82	649
113	83	647
114	84	647
115	86	657
116	86	656
117	87	654
118	88	653
119	88	651
120	89	649
121	89	646
122	90	644
123	91	643
124	91	641
125	92	639
126	92	636
127	93	634
128	93	632
129	94	631
130	94	629
131	95	627
132	95	625
133	96	624
134	97	622
135	97	620
136	98	618
137	98	617
138	99	618
139	100	620
140	101	619
141	102	616
142	102	616
143	103	616
144	104	615
145	105	614
146	105	613
147	106	614
148	107	613
149	108	613
150	108	611
151	109	610
152	109	608
153	110	607
154	111	605
155	111	603
156	112	602
157	112	601
158	113	599
159	113	597
160	114	595
161	115	598
162	116	599
163	117	598
164	118	597
165	118	596
166	119	594
167	119	593
168	120	591
169	120	590
170	121	588
171	121	587
